Year,GDP_Growth,Moving_Average_5Y,Decade,Inflation,Population,Population_Growth,GDP_Per_Capita,GDP_Per_Capita_Growth
2000,3.8409911568655417,6.094101127344675,2000,4.0094359104519,1057922733,1.897170111131019,442.750218937263,0.1860546326096113
2001,4.823966263973034,5.548989930361623,2000,3.77929312235637,1077898575,1.8882137018980227,450.357900514128,1.7182784449267574
2002,3.803975321200383,5.499820824796734,2000,4.29715203929562,1097600380,1.827797666399178,469.149928973927,4.172687642061135
2003,7.860381475450453,5.835013955726114,2000,3.80585899528853,1116803006,1.7495097805997561,544.143133545002,15.98491227209431
